2.15,0.529,0.443
2.2,0.523,0.442
2.22,0.52,0.442
2.25,0.515,0.441
2.272,0.512,0.44
2.291,0.509,0.44
2.314,0.506,0.44
2.35,0.501,0.439
2.4,0.498,0.438
2.407,0.497,0.438
2.415,0.496,0.438
2.424,0.495,0.438
2.436,0.494,0.438
2.454,0.493,0.438
2.48,0.49,0.437
2.493,0.489,0.437
2.502,0.487,0.437
2.511,0.486,0.437
2.519,0.485,0.437
2.526,0.484,0.436
2.533,0.483,0.436
2.54,0.482,0.436
2.547,0.481,0.436
2.555,0.479,0.436
2.563,0.478,0.436
2.574,0.477,0.435
2.59,0.474,0.435
2.615,0.471,0.435
2.627,0.47,0.435
2.636,0.469,0.434
2.644,0.468,0.434
2.651,0.467,0.434
2.657,0.467,0.434
2.664,0.467,0.434
2.669,0.466,0.434
2.675,0.466,0.434
2.68,0.466,0.434
2.686,0.466,0.434
2.692,0.465,0.434
2.698,0.465,0.434
2.704,0.465,0.434
2.712,0.463,0.434
2.724,0.462,0.434
2.742,0.459,0.433
2.753,0.458,0.433
2.759,0.457,0.433
2.765,0.456,0.433
2.77,0.455,0.433
2.774,0.454,0.433
2.778,0.453,0.432
2.782,0.452,0.432
2.786,0.451,0.432
2.79,0.451,0.432
2.794,0.45,0.432
2.798,0.449,0.432
2.802,0.449,0.432
2.806,0.448,0.432
2.81,0.448,0.432
2.814,0.447,0.432
2.819,0.447,0.432
2.824,0.446,0.432
2.831,0.445,0.431
2.839,0.444,0.431
2.852,0.443,0.431
2.87,0.442,0.431
2.878,0.441,0.431
2.884,0.441,0.431
2.889,0.44,0.431
2.893,0.44,0.431
2.897,0.44,0.431
2.901,0.44,0.431
2.905,0.439,0.431
2.909,0.439,0.431
2.913,0.438,0.431
2.917,0.438,0.431
2.921,0.438,0.431
2.925,0.437,0.431
2.929,0.437,0.43
2.933,0.436,0.43
2.937,0.436,0.43
2.942,0.436,0.43
2.947,0.435,0.43
2.953,0.434,0.43
2.959,0.434,0.43
2.968,0.433,0.43
2.98,0.432,0.43
2.999,0.43,0.43
3.011,0.428,0.429
3.019,0.428,0.429
3.025,0.427,0.429
3.031,0.427,0.429
