1.905,0.551,0.446
1.925,0.551,0.446
1.938,0.551,0.446
1.952,0.55,0.446
1.967,0.549,0.446
1.987,0.547,0.446
2.017,0.544,0.445
2.063,0.54,0.445
2.113,0.533,0.444












































































































































































































































































































































































































































































































































































































































































































































































# Event GROUND_HIT occurred at t=77.629 seconds
# Event SIMULATION_END occurred at t=77.629 seconds
77.629,0.034,NaN
